id,bedrooms,bathrooms
1180558154817796469,2,1.0
1338753216179724420,5,5.5
1177436101599966323,4,3.0
1566650176484653461,5,5.0
1355135981772594885,4,4.0
1465228687699287493,0 (studio),0.0
1144710959871941954,4,3.0
1278327552855186863,1,1.0
1632552831530239567,2,1.5
1359624363244490505,3,1.0
1113905175665688448,2,2.0
1594943812538194632,2,1.5
1487594384299959437,3,2.5
913438781106788261,4,4.0
1410660722583584685,2,1.0
856016524903906952,4,2.0
1277499307467449071,7,7.0
1540534693706492225,3,2.0
1373091368334539780,4,3.0
907900182421893647,6,4.0
1319283469075375885,2,2.5
1461713378764072274,3,1.0
1420148568011420764,3,5.0
1288329476638689556,5,5.0
681776133764713251,2,1.5
1081247984167693443,3,2.0
1639590721647305136,1,1.0
1482417253416515863,3,1.0
1445646791908439806,4,
1164140665122725054,2,2.0
1475401542202125417,3,1.0
1423354259007251917,2,2.0
1615388050655414022,3,2.0
1423376957296582046,3,2.0
1297096849586231529,8,12.0
1249334199993271826,1,1.5
1475269023270252461,,
1484626050712332965,2,2.0
1560225461384156429,3,2.0
787507286574674085,4,4.0
1558885122405432399,3,2.0
1223309088817999779,1,1.5
1182511995447620673,3,2.0
1340435226653635462,2,3.5
1600296998782411614,3,3.0
1094737973419244719,2,2.0
1437055398516312551,3,3.0
1236869736596826155,2,2.0
1436654490966779045,3,2.5
979799389609084264,4,4.5
1662438871579227708,1,1.0
970930640022554250,2,4.0
1198390754839197557,4,3.5
1517967461600586206,4,4.5
1433131550332600221,4,3.0
1600296958383830853,3,3.0
1471160003390200629,3,2.0
1587917123955001377,3,2.0
1460693464593175129,4,3.5
1243641468702444402,3,2.0
1013855054944324231,2,2.5
1580355392533303704,5,8.0
1660788143173192815,4,4.0
1654659731934554513,4,4.5
1652916769583350196,4,3.0
1385510783341149832,3,2.5
1107780146113704019,5,5.0
1522835002642086927,5,3.0
1295091350098862553,4,4.0
1555243937779872139,2,3.0
1667561977206768000,3,2.0
16290979,,
49773821,2,2.0
1319518528043591439,,1.0
1468774485421506345,1,1.0
1344833182175148192,0 (studio),1.0
1661961428021860914,1,1.0
1391961996516455889,2,1.0
1130933842478962946,3,2.0
1650309846526152378,1,
1061500549000037414,2,1.0
1381310134257979009,3,1.5
1455696827301343990,2,2.0
983414519320104363,3,2.0
1320558631955734319,2,1.5
1287024945233006977,2,1.5
29474692,2,1.0
1402756406268182046,,
1295698845162295682,4,1.0
1549181843960990591,3,1.0
873185899027327222,1,1.0
1561888686587426835,1,1.5
1516522674034869790,2,1.0
1626885025560964314,1,1.0
1381909454017496563,2,1.5
1663770474362885940,1,2.0
1585666207665224564,1,1.0
1533469992700415044,,
1516286876818942480,2,2.0
1605417407792668866,4,3.0
1134834727239525225,2,2.0
1641357479567752225,3,3.5
1622549096871242818,,
1437671449717350991,,
1527566992590507701,2,1.0
1557964439281854268,3,3.0
1510754777616150849,1,1.0
1476002826939712437,5,3.0
1600937347509723473,3,4.0
780234254783166196,2,2.5
1416740441171469640,0 (studio),1.0
1148587259262300775,2,2.0
1538334896256907735,5,5.5
1468039225480569918,2,2.0
1570242333353102799,2,
1656799728039423148,1,1.0
1360705356457676892,4,3.0
1559005011667532352,4,4.0
1384463896262583587,6,5.0
1217270627709511992,4,3.0
1446658569534429310,3,2.0
1658309958779764860,6,4.0
1458081602095496176,1,
