title,lat,lng,rating_overall,reviews_count,rating_accuracy,rating_cleanliness,rating_value,rating_location,nightly_price,has_rating,bedrooms,bathrooms,description_length,has_wifi,has_pool,has_pyramid_view
"Dar Misr Compound, Al-Qarnfil, 2nd floor, 3 rooms, owner",30.0077,31.42939,5.0,1.0,5.0,5.0,5.0,5.0,841.13,True,3,2.0,14,False,False,False
Villa Eltayeb,30.1809,30.8522,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,577.92,False,9,12.0,89,False,False,False
Bright & Modern 4BR Flat | Nasr City,30.0602,31.3404,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,684.72,False,4,2.0,64,False,False,False
"2bedrooms
1bathroom 
garden view",30.03541322221993,31.47489606017647,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,604.15,False,2,1.0,8,False,False,False
Mivida emaar twin house,30.0033,31.5383,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,409.79,False,3,1.0,117,False,False,False
be close to everything,29.97237439277063,31.32318910172757,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,608.83,False,2,1.0,62,False,False,False
Hotel rooms in Sheikh Zayed City,30.03704,30.96845,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,762.25,False,10,18.0,33,False,True,False
Nassimah_Lodge,29.87035,31.22489,5.0,3.0,5.0,5.0,5.0,5.0,936.66,True,8,6.0,156,False,False,False
Hotel apartment,30.03839,31.2157,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,603.45,False,2,2.0,11,False,False,False
"Luxury villa with private pool, sauna and Jacuzzi",30.07118,30.96004,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,602.43,False,5,7.0,33,False,True,False
Elysian 5 Master BR Mansion with Private Pool,30.0234,31.4829,5.0,1.0,5.0,5.0,5.0,5.0,612.0,True,5,5.5,48,False,True,False
ELITE | 5BR Palace • Platinum-Class • VIP Guests,30.05764,31.00126,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,626.39,False,5,6.5,451,False,True,False
Palace with a private pool for daily rent inside Sheikh Zayed,30.0587,31.0004,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,643.95,False,6,5.0,12,False,False,False
Hotel-Furnished 4BR Townhouse | Allegria,30.080226302510816,30.96076385309065,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,505.8,False,4,3.5,74,False,True,False
A very special villa for rent in Marina 7,29.8840488344584,31.29051058936457,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,819.58,False,6,5.0,29,False,False,False
Fourseason  apartment  nile view snap /b2c336,30.038,31.2329,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,776.02,False,2,2.5,108,False,False,False
Furnished Duplex for Rent in Garden City,30.03075,31.23202,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,936.66,False,2,2.0,71,False,False,False
ELITE/7BR Palace • VIP Stay • Palm Hills Golf Ex,29.99984367929904,31.034905661396134,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,607.66,False,7,9.0,859,False,True,False
Private villa at a gated community,30.14392,31.00681,3.67,3.0,3.67,3.0,3.67,3.67,538.58,True,5,5.0,151,False,True,False
"New Cairo villa
Spacious featuring 4 bedrooms_pool",29.99892,31.40019,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,643.95,False,4,6.0,24,False,False,False
Royal City,30.038142056414323,31.02589023785744,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,509.59,False,6,4.0,11,False,False,False
4 Garden-view Rooms near to Ancient Wonders,30.080555,30.905894,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,895.2,False,4,1.0,240,False,True,False
ELITE/5BR Villa • Ultra-Luxury • Green Heights,30.010864182328785,30.975093059644543,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,567.85,False,6,6.5,540,False,True,False
A royal palace for daily rent in Sheikh Zayed,30.05822,30.99972,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,725.91,False,6,9.0,49,True,True,False
Dina’s home,29.9611,30.9296,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,681.99,False,3,1.0,8,False,False,False
Beverly Hills,30.0648,30.9468,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,496.43,False,4,4.0,9,False,False,False
villa 5 bedrooms in fifth settlement in new cairo,30.00855781712367,31.42800285104134,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,828.94,False,5,5.0,9,False,True,False
Centre of Madinaty Next Mall,30.0887,31.6487,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,776.02,False,2,1.0,26,False,False,False
Villa With Pool-Sheikh Zayed,30.068786811228744,30.95169562629153,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,550.29,False,5,5.0,34,False,True,False
“Elegant Family Haven in Alrehab City”,30.0662,31.5152,5.0,2.0,5.0,5.0,5.0,5.0,1.0,True,3,1.0,44,True,False,False
Luxury Villa 6BDR W Pool@Green Revolution Sheikh Zayed,30.05936,30.99956,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,930.34,False,6,8.5,182,True,True,False
Solana's exclusive 6BR  villa w/pool,29.977817318691503,31.554199413540715,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,603.0,False,5,5.0,11,False,False,False
Hossry 3BR house,29.97504,30.94545,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,632.25,False,2,1.0,17,False,False,False
Furnished villa for rent in Aljeria with swimming pool,30.0707,30.947,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,684.72,False,3,4.0,10,False,False,False
Double or single in the heart of Cairo downtown,30.04758,31.23396,4.5,2.0,4.0,4.0,5.0,5.0,585.41,True,1,1.0,12,False,False,False
Luxury 7BR Villa w/ Pool | Palm Hills Zayed | 109,29.9944,31.02498,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,902.71,False,7,7.0,176,False,True,False
Amazing villa in new cairo,30.01406,31.5386,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,470.62,False,3,3.5,73,False,True,False
Luxury villa in my city,30.095036988221462,31.636126604970105,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,819.58,False,3,2.0,10,False,False,False
Villa-luxury is a state of mind,30.0136,31.0726,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,3,5.0,9,False,False,False
luxury Villa with swimming pool,30.01066,31.48434,5.0,1.0,5.0,5.0,5.0,5.0,632.25,True,4,4.0,84,False,True,False
Unknown,30.0697,30.9532,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,526.87,False,3,3.0,1,False,False,False
"Best location in Maadi, 2 BR for 3 guests",29.9614,31.2769,4.65,85.0,4.78,4.71,4.68,4.85,650.98,True,2,1.0,41,False,False,False
Luxury Palace -Sheikh Zayed,29.999619931926265,31.032418146277266,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,727.08,False,5,5.0,54,False,True,False
Luxury House in Egypt - 15min from the pyramids ;),29.97694,31.03308,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,746.28,False,3,3.0,35,False,False,False
Nile View 4BR Apartment in Giza | 137,30.04395,31.21855,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,622.0,False,4,2.0,136,True,False,False
Luxury 6BR Villa with Private Garden & Pool | 155,30.03625197059529,31.026072596476816,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,726.53,False,6,4.0,180,False,True,False
A palace for those who love luxury only,30.04569,30.99447,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,6,8.0,52,False,True,False
Hotel apartment,30.03531,31.23,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,961.15,False,4,3.5,57,False,True,False
Al-Obour Villas for daily rent,30.180713992288855,31.51062955128805,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,909.33,False,3,1.0,14,False,False,False
Villa Ultra Modern (Smart Home),30.0692,30.9479,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,550.29,False,4,3.0,15,False,False,False
"5-room independent villa with a swimming pool, modern furniture in Sheikh Zayed",30.071,30.94497,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,643.95,False,5,5.0,9,False,False,False
"New Cairo Villa–7 master bedrooms, all en-suite.",30.022137943884832,31.48507702213758,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,936.66,False,7,10.0,25,False,True,False
Spacious Palace Stay with Private Pool | 100,30.058333846880487,30.999679361496447,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,902.71,False,5,5.0,158,False,True,False
Bright & Stylish 4-BR Apartment with Balcony | 144,30.02182835107764,31.22369361473568,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,707.0,False,5,3.5,172,False,True,False
Hotel Villa with Pool in Sheikh Zayed,30.0559,30.9809,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,882.8,False,8,11.0,25,False,True,False
The tallest towers of Cairo on the Nile,30.0217,31.223,1.0,1.0,1.0,1.0,1.0,3.0,550.29,True,4,4.0,74,False,False,False
Zayed's Retreat,30.0391,30.9607,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,585.41,False,3,3.0,74,False,False,False
High End Luxury Villa,30.0721,31.4927,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,594.61,False,5,6.5,45,False,True,False
Luxurious Four Seasons residential apartment 2BDR,30.03512,31.22971,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,592.44,False,2,2.5,350,True,True,False
Cozy Palace in Sheikh Zayed,30.0824,30.9869,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,701.32,False,5,6.0,23,False,True,False
"Eplannera tour العنزي للسياحة 
3-room apartment",30.07028,31.20355,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,585.41,False,3,3.0,23,False,False,False
Luxury Hotel-Furnished Villa | Al Karma 1,30.02457,31.00233,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,585.41,False,6,6.0,185,False,True,False
Medinaty Apartment,30.01608,31.43033,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,1.0,13,False,False,False
ELITE/Modern 6BR Villa • Prv Pool • Royal City,30.03363592300892,31.02402292039675,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,496.43,False,6,4.0,508,False,True,False
Nassimah RetreatSpace-Half Board,29.87074,31.22832,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,965.93,False,7,4.0,42,False,False,False
The second neighborhood is 7 behind Abu Bakr Al-Siddiq Mosque,29.961428332952732,30.951813515598023,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,3,2.0,11,False,False,False
Lux 5BR Villa w/ Garden & Pool Palm Hills | 115,30.00411139951748,31.04277558634422,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,639.01,False,5,5.0,523,False,True,False
Cozy family mansion with garden and pool in Royal City,30.0522,30.9862,5.0,1.0,5.0,5.0,5.0,5.0,707.18,True,6,7.0,100,True,True,False
New Cairo,29.97675,31.39948,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,1,1.0,9,False,False,False
Hotel Studio Towers Z Mall Arabia,30.01207,30.97668,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,1,1.0,27,False,False,False
Relaxing studio private garden,30.08554,31.64752,4.5,4.0,5.0,5.0,4.5,5.0,1.0,True,1,1.0,18,False,False,False
The most luxurious hotel Twin House in Madinaty,30.09620991064873,31.63456567895842,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,916.6,False,3,3.0,59,True,True,False
Duplex for monthly rent.,30.01641,30.98174,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,5,3.0,74,False,False,False
Apartment in Zamalek,30.0615,31.2243,5.0,2.0,5.0,5.0,5.0,5.0,290.0,True,2,2.0,77,False,False,False
Cozy APT N4 in Amazing Zmalek Island,30.0604,31.2224,4.79,95.0,4.81,4.73,4.69,4.82,557.31,True,2,1.0,173,False,False,False
Abu Al-Fida Street - Zamalek,30.0652,31.2183,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,3,1.0,20,False,False,False
Family house hotel,30.0169,31.0174,4.93,14.0,5.0,4.93,4.79,4.93,253.13,True,5,7.0,83,True,True,False
Nilefront 3BR–Steps fromTahrir Sq & Zamalek island,30.0519,31.2309,4.64,36.0,4.56,4.39,4.5,4.69,265.14,True,4,2.0,381,True,False,False
Elegant 4BR Apartment Full Nile View & Modern Vibe,30.0207,31.2177,5.0,43.0,4.91,5.0,4.81,4.91,277.2,True,4,2.0,263,True,False,False
Casa Royal/Zamalek Nile Loft,30.05483,31.21758,4.94,18.0,4.89,4.89,4.83,4.83,268.0,True,3,1.5,166,False,False,False
Spacious 6BR with private swimming pool,30.02313668027731,31.484195708734127,5.0,10.0,5.0,5.0,5.0,4.9,600.0,True,6,5.0,61,False,False,False
Wisal Views Apartment Cairo,30.1295,31.6479,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,863.86,False,3,2.5,77,True,False,False
Alsawah | 5BR Luxurious Palace w/Pool & Garden,30.082336682978188,30.98538409225569,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,626.0,False,5,6.0,164,False,True,False
Luxury Living with Full Nile Views: 4BR Gem,30.0699,31.2271,4.96,51.0,4.96,4.96,4.86,4.92,277.2,True,4,3.0,139,False,False,False
Palace for daily rent in Sheikh Zayed,30.058446491117717,31.00110130720351,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,784.45,False,5,8.0,50,True,True,False
Luxury Flat w/ Nile River Views,30.066082475759583,31.221082776058037,5.0,17.0,4.88,4.94,4.88,5.0,263.43,True,3,2.5,688,True,False,False
Luxurious 3BR Apartment with Stunning Nile Views,30.01916,31.21713,4.95,62.0,4.95,4.87,4.94,4.87,247.0,True,3,2.5,116,False,False,False
Bayt Abbas Experience - The Grand Egyptian Museum,30.0037,31.1126,5.0,1.0,5.0,4.0,5.0,5.0,280.74,True,3,3.5,317,False,True,False
Golda Pyramids Bay firm Pyramids View Jacuzzi,29.9791,31.1461,4.84,139.0,4.91,4.86,4.82,4.65,111.23,True,0,1.0,506,True,False,False
Serviced Apartment Nile View at 4 Seasons Hotel,30.053952248857783,31.22908669626204,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,643.95,False,2,3.0,151,False,True,False
Ginger cozy apartment 1008 O,30.06131,31.22163,5.0,3.0,4.67,5.0,4.33,5.0,45.0,True,1,1.0,78,False,True,False
Unknown,29.9785,31.146,4.89,273.0,4.88,4.75,4.83,4.77,93.67,True,2,1.0,1,False,False,False
Amigos Amarena. Lovely healing Experience,29.9686,31.1061,4.88,125.0,4.88,4.87,4.76,4.58,152.21,True,1,1.0,247,True,True,False
Soulful Garden Studio in Lush Cairo Neighborhood,29.95906,31.26202,4.98,195.0,4.97,4.97,4.87,4.93,127.62,True,1,1.5,433,False,True,False
Villa with a hotel for more than 8 people,30.0027,30.9736,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,681.99,False,3,3.0,50,False,True,False
Khan El Hekma | Ancient khan,29.991150957012795,31.13995315755205,4.96,57.0,4.95,4.88,4.88,4.61,282.18,True,3,2.0,267,False,True,True
Brassbell Zamalek 1BR Diplomatic Zone No. Marriott,30.05652443941861,31.22129373184889,4.85,34.0,4.88,4.74,4.82,4.88,134.0,True,1,1.0,48,False,False,False
Chic 2Rooms Suite with private pool&large garden,30.0786,30.9852,4.98,87.0,4.97,4.94,4.93,4.83,187.33,True,1,2.0,152,False,True,False
compound moon land El sheikh Zayed Egypt,30.0368,31.0174,5.0,1.0,5.0,5.0,5.0,5.0,795.66,True,4,8.0,104,False,True,False
Ancient Bohemian Khan: Memphis Oasis,29.9909994164828,31.13918506364608,4.95,20.0,4.95,5.0,4.9,4.85,321.16,True,6,5.0,268,False,True,True
LUX Nile View Zamalek Loft,30.05294,31.21795,4.98,99.0,4.97,4.95,4.83,4.94,229.0,True,2,1.0,78,False,False,False
Panoramic Luxury Nile & Skyline View in Zamalek,30.06894,31.22057,4.9,174.0,4.91,4.8,4.75,4.92,187.2,True,2,1.5,126,False,False,False
"Scarbaeus suite pyramids view, jacuzzi & balcony",29.9857,31.144,5.0,27.0,5.0,5.0,4.96,4.89,134.65,True,1,1.0,212,False,True,True
WG Luxury w Garden near Cairo Festival Mall / 216,29.984063991874397,31.391151210172698,5.0,18.0,4.94,5.0,4.78,4.39,125.0,True,3,2.0,62,False,False,False
cozy and comfy apartment in Madinaty,30.095820719896047,31.63549258415095,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,838.63,False,2,1.0,61,False,False,False
The 2 BDR Pyramids Vista w/ Bathtub,29.99127,31.1353,4.79,130.0,4.83,4.82,4.72,4.44,125.6,True,2,1.0,326,True,False,False
Unknown,30.068,31.2209,5.0,4.0,5.0,5.0,5.0,5.0,199.0,True,3,1.0,1,False,False,False
Whispers Of The Nile I Nesty Hospitality,30.0665,31.2161,4.92,36.0,4.89,4.94,4.56,4.89,177.2,True,1,2.0,514,False,False,False
Luxury Flat Pyramids View,29.9816,31.1472,4.83,146.0,4.92,4.82,4.79,4.54,131.72,True,3,1.5,130,False,True,True
"15th floor, Zamalek Nile view Apartment",30.06621,31.22061,5.0,3.0,5.0,5.0,5.0,5.0,185.83,True,3,2.0,72,False,False,False
The Grand Tree House I Nesty Hospitality,30.0664,31.2199,4.97,32.0,4.94,4.94,4.84,4.91,160.64,True,2,2.0,542,False,False,False
Unique Villa by the Pyramids & Grand Museum | B&B,29.997,31.1231,4.94,33.0,4.97,4.88,4.88,4.82,279.21,True,3,2.5,79,False,True,False
"Glasshouse Games, Private Heated Pool & Jacuzzi",30.0295,31.4388,4.94,125.0,4.86,4.9,4.77,4.86,175.62,True,2,3.0,43,False,True,False
Nile & Pyramids View Penthouse•Jacuzzi •31st Floor,29.9644,31.2459,4.93,15.0,4.93,5.0,4.93,5.0,140.5,True,4,2.0,166,True,True,True
"5 Al-Tawhid and Al-Nour Street, Helwan Corniche",29.8971,31.304,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,3,3.0,50,True,False,False
Spacious 3 bedroom in cozy location in maadi,29.96085,31.27733,4.76,59.0,4.78,4.66,4.76,4.88,655.66,True,2,2.0,39,False,False,False
Brassbell Zamalek Studio Near Marriott & Emb.,30.056428400158754,31.221965772082125,5.0,21.0,4.9,4.9,4.9,5.0,123.0,True,0,1.0,51,False,False,False
Spacious 450 sqm 3-BR + Maid’s Room |Prime View|SP,30.048,31.4762,4.79,33.0,4.79,4.79,4.82,4.73,149.0,True,4,4.5,673,True,True,False
VESTA - Luxury 6BR Pool Villa - New Cairo,30.0071,31.4817,4.81,16.0,5.0,4.88,4.88,4.88,314.08,True,6,4.5,300,True,False,False
Zamalek Boho House | Oriental Charm & Comfort,30.072,31.2217,5.0,97.0,5.0,4.93,4.97,4.98,159.23,True,2,2.0,301,False,False,False
First-Row Nile 3BR Tahrir Square • Panoramic Views,30.052312681429356,31.23060278082563,4.93,14.0,4.93,4.64,4.86,5.0,303.3,True,3,2.0,41,False,False,False
Luxury 3 Master Bedrooms Nile& Pyramids open View,29.9875,31.2296,4.96,28.0,4.96,4.89,4.68,4.61,284.51,True,3,3.0,82,False,False,False
Saffron 1 Bedroom high ceiling Number FIVE Zamalek,30.0667,31.2187,5.0,16.0,5.0,5.0,4.88,5.0,292.71,True,1,2.0,140,True,False,False
Elegant 3BR Nile View in Maadi,29.972141673713917,31.236209445861995,5.0,3.0,5.0,5.0,5.0,5.0,257.58,True,4,3.0,74,False,False,False
Unknown,30.0083,31.1098,5.0,3.0,5.0,5.0,5.0,4.67,281.77,True,2,2.5,1,False,False,False
The Magnificent Retro Nile Loft/ Zamalek View,30.0339,31.2297,4.99,71.0,4.99,4.99,4.9,4.92,196.0,True,3,2.0,171,False,False,False
Villa for rent in my city at an attractive price,30.1018,31.6413,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,1.0,40,False,False,False
280 m penthouse prime location 3 big bed rooms,30.02209,31.49307,4.93,73.0,4.95,4.93,4.85,4.92,351.25,True,3,3.0,61,False,False,False
Casa Nile/ BOHO Zamalek loft,30.0543,31.219,4.98,100.0,5.0,4.98,4.79,4.95,149.88,True,2,1.0,125,False,False,False
Luxury Nile Queen Palace,30.026383049364856,31.217334221682936,4.6,5.0,5.0,5.0,4.8,5.0,368.81,True,5,5.5,75,False,False,False
villa Yasser Ezzat,30.07635,31.49051,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,684.93,False,4,3.0,31,False,True,False
Standalonevilla,30.006946973064387,31.54009551376287,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,5,5.0,72,False,False,False
500 Meter house، Great location 4 rooms,30.041059630811823,31.435051623859508,5.0,29.0,4.97,4.97,4.97,4.97,362.95,True,4,4.0,96,False,False,False
palace in Sheikh Zayed 6 bedrooms,30.0648,30.9468,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,587.75,False,0,0.0,58,True,True,False
5 Tahrir Square - 4BR,30.04528,31.23699,4.89,64.0,4.89,4.88,4.81,4.89,310.27,True,4,3.0,267,False,False,False
The Pyramids Cave,29.9694,31.1071,4.95,93.0,4.96,4.94,4.9,4.72,145.55,True,1,1.0,70,False,False,True
Pyramids & GEM Panorama | Retro,29.997419925409663,31.122302861929168,5.0,8.0,5.0,5.0,5.0,4.88,93.67,True,2,1.5,100,False,False,False
GITILounge  Pyramids View Hot Tub,29.9791,31.1461,4.89,83.0,4.94,4.95,4.86,4.7,87.81,True,3,1.0,539,True,False,False
K Cribs • Nile + City View • 2BR • Zamalek,30.0592,31.2216,4.85,40.0,4.88,4.78,4.78,4.83,220.91,True,2,2.0,214,False,False,False
2BR Penthouse in Prime Maadi | Rooftop & Terrace,29.957456310468626,31.26031564584281,5.0,12.0,5.0,5.0,5.0,5.0,126.45,True,2,1.5,74,True,False,False
Huge Skyline Private Terrace Luxury Stay,30.0252,31.4203,5.0,35.0,5.0,4.94,5.0,4.94,140.03,True,3,2.5,82,False,False,False
Serene New Cairo Villa | Pool & Stylish Living,30.0233,31.4877,5.0,31.0,4.97,4.9,4.94,4.97,246.34,True,4,4.0,503,True,True,False
Elite Apartments for Rent,30.08857,31.64814,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,1.0,8,False,False,False
"10 Al-Mokhtar Street, Maadi,",29.9753,31.2755,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,681.99,False,4,2.0,3,False,False,False
Wonderful palace in Sheikh Zayed,30.0382,30.9794,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,585.41,False,7,7.0,42,False,True,False
Downtown Glass & Glory | Heritage Stay,30.0559,31.2419,4.97,31.0,4.97,5.0,4.97,4.94,166.26,True,3,2.0,187,True,False,False
rehab villa relax,30.06833,31.48383,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,913.24,False,4,3.0,71,False,False,False
Sheikh Zayed Palace behind Kebabji Menoufia,30.03515,30.96788,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,580.73,False,6,4.0,9,False,False,False
J.W. Marriot residence penthouse,30.0709,31.4347,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,587.75,False,2,2.5,9,False,False,False
Apartment in Manial,30.02306,31.22819,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,967.8,False,3,1.0,23,False,False,False
Pyramids view 3BR penthouse with private rooftop,30.013,31.0714,4.96,27.0,5.0,5.0,5.0,4.85,202.0,True,3,5.0,82,False,True,False
sequoia pyramids view,29.97742846795848,31.14003929306042,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,795.66,False,5,5.0,11,False,False,False
شقه,30.0204,31.1845,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,755.18,False,2,1.5,17,False,False,False
Pyramids (T/A/K) cozy&friendly HOUSE/Free pick up?,29.987,31.1341,4.99,165.0,4.99,4.96,4.97,4.96,200.79,True,3,2.0,555,False,False,True
A hotel apartment on the main street,30.00911,30.99228,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,585.41,False,1,1.0,9,False,False,False
An amazing apartment Madinaty B6,30.0363,31.4758,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,844.16,False,3,1.0,8,False,False,False
Ancient Wonders & Modern Amenities l 4 Rooms,30.080555,30.905894,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,850.44,False,4,1.0,240,False,True,False
2 bedroom 2 bathroom+ garden,30.0212,31.4938,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,2.0,12,False,False,False
Apartment for rent Nasr City3 bR,30.05934,31.39682,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,822.86,False,3,1.0,38,False,False,False
at least rent 6 month or 1 year,30.0622,31.48228,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,936.66,False,2,2.0,28,False,False,False
