title,lat,lng,rating_overall,reviews_count,rating_accuracy,rating_cleanliness,rating_value,rating_location,nightly_price,has_rating,bedrooms,bathrooms,description_length,has_wifi,has_pool,has_pyramid_view
Jacuzzi 1 BDR Apt 5 min CAI Airport Self Check-in,30.1057,31.3715,5.0,4.0,5.0,5.0,5.0,5.0,54.0,True,1,1.0,343,False,True,False
Address: Al-Barajil after Al-Arabi parking lot,30.07155,31.18126,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,15.0,False,1,1.0,11,False,False,False
300-meter administrative or residential headquarters for sale,30.11671,31.33668,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,11.0,False,8,3.0,100,False,True,False
Luxury hotel unit for rent at St. Regis Hotel,29.91055,31.28612,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,5.0,False,1,1.0,45,False,False,False
Week-end Esclusivo per Ospiti dՃlite,30.0418,31.2315,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,5.0,False,2,2.0,267,True,False,False
Apartment for rent in Nasr City,30.05646,31.34376,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,5.0,False,3,3.0,34,False,False,False
Villa for rent in Sheikh Zayed,30.0221,30.9966,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,4.0,False,3,1.0,19,False,False,False
Townhouse for sale in Marassi Red sea,30.01606,31.44491,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,15.0,False,3,2.0,15,False,False,False
Heart of Zayed | Luxury Stay,30.0258,30.9708,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,11.0,False,3,2.0,67,True,False,False
Unknown,30.0554,30.9601,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,7.0,False,3,3.0,1,False,False,False
Villa in Golf Al-Solaimaneyah Resort,30.16699,30.81908,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,5.0,False,3,4.0,84,True,False,False
Sheikh Zayed,30.01657326531326,31.164796727492867,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,4.0,False,3,3.0,11,False,False,False
Rooftop with private jacuzzi in Sodic New Cairo,30.023479068690857,31.548121378977804,5.0,43.0,4.95,4.95,4.86,4.91,124.6,True,1,1.0,254,False,True,False
Mohandessin in front of Zamale Club,30.06451,31.20322,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,5.0,False,3,2.0,12,False,False,False
Special apartment in Tigris Gardens Compound,29.96093,30.92538,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,8.0,False,1,1.0,95,False,False,False
Super Luxury Furnished Apartment for Rent,30.05051,31.19628,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,5.0,False,3,4.0,20,False,False,False
Boulevard apartment,30.00881,31.52913,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,5.0,False,3,4.0,14,False,False,False
Furnished apartment for rent in Nasr City,30.0548,31.34338,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,4.0,False,2,2.0,11,False,False,False
"October, the third neighborhood, the second neighborhood, next to Najdeh",29.9578634969068,30.939721919012715,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,5.0,False,0,0.0,47,False,False,False
Sheikh Zayed Apartment for daily and monthly furnished rent,30.04757,31.02503,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,5.0,False,3,3.0,9,False,False,False
"6th October, 2nd District, 7th Neighborhood, Abu Bakr Mosque",29.961272204621547,30.95181885741108,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,3,3.0,28,False,False,False
brand new cozy apartment in Doki,30.05081,31.2066,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,3.0,False,3,1.0,14,False,False,False
The chill roof,30.066195426944063,31.50438774676354,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,3.0,False,1,1.0,7,False,False,False
Luxurious 3 storey Palace@Tala3a,30.19445,31.65521,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,3.0,False,9,1.0,77,False,True,False
"12th Street, Taksim Al-Nozha 2, Al-Salam City, Cairo",30.1599,31.4056,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,3,2.0,8,False,False,False
Apartment 3 bedrooms 3 bathrooms for rent 350 meters,30.0016,30.9866,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,7.0,False,1,3.0,37,False,True,False
Stylish Villa in Uptown Perfect for a Getaway,30.021930449971357,31.29725859731114,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,4,4.5,29,False,False,False
37 Al-Israa Previously,30.0595,31.195,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,4.0,False,1,2.0,11,False,False,False
Unknown,30.0398,31.2196,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,3,3.0,1,False,False,False
Furnished villa with swimming pool in Aligeria Beverly Hills,30.07167,30.94588,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,3.0,False,3,4.0,17,False,True,False
Unknown,30.069059692416552,31.34295160180384,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,3.0,False,2,2.0,1,False,False,False
